"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","CPIFORECAST","TOT","AGRWTH","Q","1999-Q4",1.11950825049468,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2000-Q1",1.58079607757909,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2000-Q2",1.05035590819622,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2000-Q3",1.30055507669126,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2000-Q4",1.72039187057108,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2001-Q1",1.58305893669625,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2001-Q2",2.49812499892225,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2001-Q3",2.05454975764262,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2001-Q4",1.47079373745074,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2002-Q1",1.87192413230747,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2002-Q2",1.15860408624704,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2002-Q3",1.13313347920573,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2002-Q4",1.14647574839659,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2003-Q1",1.20069157015049,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2003-Q2",0.869823892728841,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2003-Q3",1.02237384098009,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2003-Q4",1.20138743458458,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2004-Q1",1.04540758586522,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2004-Q2",1.95391974312859,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2004-Q3",2.01420854132698,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2004-Q4",2.10686104584577,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2005-Q1",1.80058714596784,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2005-Q2",1.56015280698465,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2005-Q3",2.1319541589462,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2005-Q4",2.21624728175984,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2006-Q1",2.08370327059102,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2006-Q2",2.15521129243902,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2006-Q3",1.58336551164086,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2006-Q4",1.28712662399013,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2007-Q1",1.86688820566898,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2007-Q2",1.98519148944176,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2007-Q3",2.21518606695462,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2007-Q4",3.00924823961808,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2008-Q1",3.05721410824192,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2008-Q2",3.03995147053814,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2008-Q3",3.23466358117938,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2008-Q4",1.70195708043122,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2009-Q1",0.785180156107563,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2009-Q2",0.182616256136471,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2009-Q3",-0.339760997683656,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2009-Q4",0.364209613807018,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2010-Q1",0.737155409446757,
"DEU","CPIFORECAST","TOT","AGRWTH","Q","2010-Q2",1.04258950347162,
