"TIME","GEO","UNIT","COICOP","Value","Flag and Footnotes"
"1997M01","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,2",""
"1997M02","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","2,0",""
"1997M03","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,7",""
"1997M04","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,5",""
"1997M05","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,5",""
"1997M06","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,5",""
"1997M07","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,7",""
"1997M08","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,8",""
"1997M09","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,7",""
"1997M10","Europäische Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Jährliche Veränderungsrate","Gesamt-HVPI","1,7",""
