,sentence,tokens,index
0,"Untersuchungen der Europäischen Zentralbank (EZB) zeigten, dass der Wechselkurs des Euro nur einen sehr begrenzten Einfluss auf die Inflationsrate habe.","['untersuch', 'europa', 'zentralbank', 'ezb', 'zeigt', 'wechselkur', 'euro', 'begrenzt', 'einfluss', 'inflationsrat']",1294
1,"Die Abwertung des Euro im Verlauf dieses Jahres werde nach Schätzungen der EZB die Inflationsrate mit einer gewissen Verzögerung um bis zu 0,2 Prozentpunkte erhöhen.","['abwert', 'euro', 'verlauf', 'jahr', 'schatzung', 'ezb', 'inflationsrat', 'gewiss', 'verzoger', 'prozentpunkt', 'erhoh']",1294
2,"Aber man sei derzeit gewiss, dass die Inflationsrate auf mittlere Sicht unterhalb der gesetzten Obergrenze von 2% bleiben werde, sagte Duisenberg der Zeitung.","['sei', 'derzeit', 'gewiss', 'inflationsrat', 'mittl', 'sicht', 'unterhalb', 'gesetzt', 'obergrenz', 'bleib', 'sagt', 'duisenberg', 'zeitung']",1294
3,"Hier würde sich die Teuerung der von der EZB anvisierten Rate von 2,0% bedrohlich nähern.","['teuer', 'ezb', 'anvisiert', 'rat', 'bedroh', 'nah']",1877
4,"FRANKFURT (dpa-AFX) - Der Präsidenten der Europäischen Zentralbank (EZB), Wim Duisenberg, rechnet damit, dass die Inflation im Euroland Anfang 2000 ihren Höhepunkt erreicht und sich dann wieder abschwächt.","['frankfurt', 'dpaafx', 'prasident', 'europa', 'zentralbank', 'ezb', 'wim', 'duisenberg', 'rechnet', 'inflation', 'euroland', 'anfang', 'hohepunkt', 'erreicht', 'abschwacht']",2313
5,Wegen der Euro-Schwäche und den gestiegenen Ölpreisen rechne die EZB mit einem leichten Anstieg der Inflation in den ersten Monaten dieses Jahres.,"['weg', 'euroschwach', 'gestieg', 'olpreis', 'rechn', 'ezb', 'leicht', 'anstieg', 'inflation', 'erst', 'monat', 'jahr']",2513
6,"Während EZB-Ratsmitglied Sirkka Haemaelaeinen derzeit keine Notwendigkeit für einen Zinsschritt sehe, erwarte EZB-Chefvolkswirt Otmar Issing einen Anstieg der Inflationsrate in der Eurozone in den kommenden Monaten.","['ezbratsmitglied', 'sirkka', 'haemaelaein', 'derzeit', 'kein', 'notwend', 'zinsschritt', 'seh', 'erwart', 'ezbchefvolkswirt', 'otmar', 'issing', 'anstieg', 'inflationsrat', 'eurozon', 'kommend', 'monat']",2682
7,"Was die EZB betreffe, so werde sie jedenfalls anhaltendes Wirtschaftswachstum dadurch unterstützen, dass sie die Inflation und auch die Inflationserwartungen auf einem niedrigen Niveau halte./fs/ph","['ezb', 'betreff', 'jedenfall', 'anhalt', 'wirtschaftswachstum', 'dadurch', 'unterstutz', 'inflation', 'inflationserwart', 'niedrig', 'niveau', 'haltefsph']",2719
8,"FRANKFURT (dpa-AFX) - Die Europäischen Zentralbank (EZB) geht davon aus, dass die Inflation in der Eurozone Anfang 2000 ihren Höhepunkt erreicht und sich dann wieder abschwächt.","['frankfurt', 'dpaafx', 'europa', 'zentralbank', 'ezb', 'geht', 'davon', 'inflation', 'eurozon', 'anfang', 'hohepunkt', 'erreicht', 'abschwacht']",3093
9,"Der Vize-Präsident der Europäischen Zentralbank (EZB) bekräftigte die Bereitschaft zu einer Zinserhöhung, sollte es Anzeichen für ein Anziehen der Inflation geben.","['vizeprasident', 'europa', 'zentralbank', 'ezb', 'bekraftigt', 'bereitschaft', 'zinserhoh', 'anzeich', 'anzieh', 'inflation', 'geb']",3869
10,Die Europäische Zentralbank (EZB) hat bereits seit einiger Zeit auf eine Beschleunigung der Inflation in der Eurozone hingewiesen.,"['europa', 'zentralbank', 'ezb', 'bereit', 'seit', 'zeit', 'beschleun', 'inflation', 'eurozon', 'hingewies']",4064
11,Die Europäische Zentralbank (EZB) hat bereits seit einiger Zeit auf eine Beschleunigung der Inflation in der Eurozone hingewiesen.,"['europa', 'zentralbank', 'ezb', 'bereit', 'seit', 'zeit', 'beschleun', 'inflation', 'eurozon', 'hingewies']",4139
12,"Die Europäische Zentralbank (EZB) werde die Zinsen um bis zu 50 Basispunkte heraufsetzen, nachdem die Inflation im Frühjahr auf etwas über zwei Prozent ansteigt.","['europa', 'zentralbank', 'ezb', 'zins', 'basispunkt', 'heraufsetz', 'nachd', 'inflation', 'fruhjahr', 'zwei', 'prozent', 'ansteigt']",4312
13,"FRANKFURT (dpa-AFX) - Die Europäische Zentralbank (EZB) sieht keine Anhaltspunkte dafür, dass die Inflationsrate im Vereinigten Währungsgebiet mittelfristig an die 2%-Grenze heranreicht.","['frankfurt', 'dpaafx', 'europa', 'zentralbank', 'ezb', 'sieht', 'kein', 'anhaltspunkt', 'dafur', 'inflationsrat', 'vereinigt', 'wahrungsgebiet', 'mittelfrist', 'grenz', 'heranreicht']",4397
