,Unnamed: 0.1,Unnamed: 0,file,rubrics,keywords,title,city,genre,date,texts,tokens
602644,602644,602644,5994563.xml,wi,Finanzausschuß EG-Währungsunion,zwei Teile Anhörung eins Wirtschaft gegen Europäische Währungsunion um jeden Preis - Bundesbank und Industrie unterstützen die Bundesregierung.,Bonn,,1991-09-18,Auch für den Deutschen Gewerkschaftsbund (DGB) ist die Unabhängigkeit der künftigen Europäischen Zentralbank eine entscheidende Voraussetzung für die Stabilität des Geldwertes.,"[['deutsch', 'gewerkschaftsbund', 'dgb', 'unabhang', 'kunftig', 'europa', 'zentralbank', 'entscheid', 'voraussetz', 'stabilitat', 'geldwert']]"
624173,624173,624173,6003566.xml,wi,EG Bundesbank,Schlesinger: Inflationsrate auf zwei Prozent drücken.,Frankfurt/Main,,1991-09-27,"Das Hauptziel für das künftige europäische Zentralbanksystem ist nach Meinung des deutschen Notenbankchefs, sicherzustellen, «daß eine neugeschaffene Papierwährung für 345 Millionen Europäer ihre Kaufkraft für lange Zeit behält» Eine europäische Zentralbank könne dies nur erreichen, wenn sie unabhängig von Weisungen ihrer nationalen Regierungen oder EG-Stellen sei.","[['hauptziel', 'kunftig', 'europa', 'zentralbanksyst', 'meinung', 'deutsch', 'notenbankchef', 'sicherzustell', '«', 'neugeschaff', 'papierwahr', 'million', 'europa', 'kaufkraft', 'lang', 'zeit', 'behalt', '»', 'europa', 'zentralbank', 'konn', 'erreich', 'unabhang', 'weisung', 'national', 'regier', 'egstell', 'sei']]"
760806,760806,760806,6060720.xml,wi,Währung,Dollar- und Pfundschwund vorerst gestoppt - Politiker beruhigen Devisenmärkte von VWD-Korrespondent Hans-Hutter.,Frankfurt,,1991-11-26,"Am Dienstag hatte zunächst Bundesbank-Direktoriumsmitglied Otmar Issing in Tokio mit seinen Worten von einer «störend hohen Inflationsrate» die D-Mark nochmals gestärkt, weil nervöse Marktteilnehmer daraufhin eine neue Leitzinsspekulation starten wollten.","[['dienstag', 'zunach', 'bundesbankdirektoriumsmitglied', 'otmar', 'issing', 'tokio', 'wort', '«', 'storend', 'hoh', 'inflationsrat', '»', 'dmark', 'nochmal', 'gestarkt', 'nervos', 'marktteilnehm', 'daraufhin', 'neu', 'leitzinsspekulation', 'start', 'wollt']]"
777468,777468,777468,6067299.xml,pl,Finanzplanungsrat Konjunktur,"Zusammenfassung Neuverschuldung bleibt unter 140 Milliarden Mark - Plus 2,5 Prozent Wachstum 1992 erwartet - Bundesbank warnt vor zu hohen Löhnen.",Bonn,,1991-12-03,"Issing deutete an, daß die Bundesbank bei einer Verfestigung einer Inflationsrate von vier Prozent zum Gegensteuern gezwungen sein könnte.","[['issing', 'deutet', 'bundesbank', 'verfest', 'inflationsrat', 'vier', 'prozent', 'gegensteu', 'gezwung']]"
1045221,1045221,1045221,6180525.xml,pl,Preise,Sperrfrist 5. April 1000 Bundesbank: Preissteigerungsrate wird deutlich zurückgehen - Wirtschaftliche Abschwächung noch nicht beendet.,Frankfurt/Main,,1992-04-05,"«Auf jeden Fall» sei damit zur Jahresmitte zu rechnen, wenn der Einfluß der Mineralölsteuererhöhung von Juli 1991 auf die Berechnung der Inflationsrate entfällt, sagte Bundesbank-Direktoriumsmitglied Otmar Issing am Sonntag im «Frankfurter Gespräch» des Hessischen Rundfunks.","[['«', 'fall', '»', 'sei', 'jahresmitt', 'rechn', 'einfluss', 'mineralolsteuererhoh', 'juli', 'berechn', 'inflationsrat', 'entfallt', 'sagt', 'bundesbankdirektoriumsmitglied', 'otmar', 'issing', 'sonntag', '«', 'frankfurt', 'gesprach', '»', 'hessisch', 'rundfunk']]"
1090766,1090766,1090766,6200434.xml,wi,Zinsen Preise,Bundesbank: In Deutschland wird das Geld teuer bleiben.,Frankfurt/Main,,1992-04-27,"Frankfurt/Main «Das Geld muß in Deutschland teuer bleiben.» Mit diesen Worten hat das Direktoriumsmitglied der Deutschen Bundesbank, Prof. Otmar Issing, jede Hoffnung auf eine baldige Lockerung der Hochzinskurses der Zentralbank in Frankfurt im Keim erstickt.","[['frankfurtmain', '«', 'geld', 'muss', 'deutschland', 'teu', 'bleib', '»', 'wort', 'direktoriumsmitglied', 'deutsch', 'bundesbank', 'prof', 'otmar', 'issing', 'hoffnung', 'baldig', 'locker', 'hochzinskurs', 'zentralbank', 'frankfurt', 'keim', 'erstickt']]"
1272974,1272974,1272974,6276781.xml,wi,EG Währungsunion,Extra In künftiger EG-Währungsunion: Zins-Alleingänge unmöglich.,Brüssel,,1992-07-17,Jedes EG-Land mit ähnlichen Eckwerten für Inflation und Geldmenge würde aber genauso handeln - und das würde auch eine künfigte Europäische Zentralbank (EZB) tun.,"[['egland', 'ahnlich', 'eckwert', 'inflation', 'geldmeng', 'genauso', 'handeln', 'kunfigt', 'europa', 'zentralbank', 'ezb', 'tun']]"
1362900,1362900,1362900,6319839.xml,wi,Bundesbank Zinsen,Issing verteidigt Anti-Inflationspolitik der Bundesbank.,Frankfurt/Jackson Hole,,1992-08-29,"Mit Nachdruck wandte sich Issing gegen die These, «ein bißchen Inflation oder bei Bedarf auch ein wenig mehr» könne sich positiv auf das Wirtschaftswachstum auswirken.","[['nachdruck', 'wandt', 'issing', 'thes', '«', 'bissch', 'inflation', 'bedarf', 'wenig', 'mehr', '»', 'konn', 'positiv', 'wirtschaftswachstum', 'auswirk']]"
2034373,2034373,2034373,6609660.xml,wi,Bundesbank,Sperrfrist 23. Juni 1800 Issing: Aussichten auf Rückgang des Preisauftriebs verbessert.,Frankfurt/Köln,,1993-06-23,"«Mit dem deutlich moderaten Lohnwachstum in Westdeutschland haben sich auch die Aussichten verbessert, daß die Inflationsrate im Laufe dieses Jahres anhaltend zurückgeht», sagte Otmar Issing, Mitglied im Direktorium der Bundesbank am Mittwochabend in Köln.","[['«', 'deutlich', 'moderat', 'lohnwachstum', 'westdeutschland', 'aussicht', 'verbessert', 'inflationsrat', 'lauf', 'jahr', 'anhalt', 'zuruckgeht', '»', 'sagt', 'otmar', 'issing', 'mitglied', 'direktorium', 'bundesbank', 'mittwochab', 'koln']]"
2219787,2219787,2219787,6688910.xml,wi,Frankreich Notenbank,Wachsendes Verständnis der Franzosen für Stabilitätskurs.,Paris,,1993-09-14,"Bei der Amtsübergabe an seinen Nachfolger Jean-Claude Trichet sagte er am Dienstag abend in Paris, die Franzosen würden sich immer mehr bewußt, daß die Stabilität der Währung die Kaufkraft der Gehälter und der Ersparnisse schützt, den Konsum unterstützt und die Exporte fördert.","[['amtsubergab', 'nachfolg', 'jeanclaud', 'trichet', 'sagt', 'dienstag', 'abend', 'paris', 'franzos', 'imm', 'mehr', 'bewusst', 'stabilitat', 'wahrung', 'kaufkraft', 'gehalt', 'ersparnis', 'schutzt', 'konsum', 'unterstutzt', 'export', 'fordert']]"
